image_id,dataset,subject_id,image_path,mask_path,split,domain_role
CHASE_Image_10L,CHASE,10L,data\CHASE\target_train\images\Image_10L.jpg,data\CHASE\target_train\masks\Image_10L_mask.png,target_train,target_train
CHASE_Image_10R,CHASE,10R,data\CHASE\target_train\images\Image_10R.jpg,data\CHASE\target_train\masks\Image_10R_mask.png,target_train,target_train
CHASE_Image_11L,CHASE,11L,data\CHASE\target_test\images\Image_11L.jpg,data\CHASE\target_test\masks\Image_11L_mask.png,target_test,target_test
CHASE_Image_11R,CHASE,11R,data\CHASE\target_test\images\Image_11R.jpg,data\CHASE\target_test\masks\Image_11R_mask.png,target_test,target_test
CHASE_Image_12L,CHASE,12L,data\CHASE\target_test\images\Image_12L.jpg,data\CHASE\target_test\masks\Image_12L_mask.png,target_test,target_test
CHASE_Image_12R,CHASE,12R,data\CHASE\target_test\images\Image_12R.jpg,data\CHASE\target_test\masks\Image_12R_mask.png,target_test,target_test
CHASE_Image_13L,CHASE,13L,data\CHASE\target_test\images\Image_13L.jpg,data\CHASE\target_test\masks\Image_13L_mask.png,target_test,target_test
CHASE_Image_13R,CHASE,13R,data\CHASE\target_test\images\Image_13R.jpg,data\CHASE\target_test\masks\Image_13R_mask.png,target_test,target_test
CHASE_Image_14L,CHASE,14L,data\CHASE\target_test\images\Image_14L.jpg,data\CHASE\target_test\masks\Image_14L_mask.png,target_test,target_test
CHASE_Image_14R,CHASE,14R,data\CHASE\target_test\images\Image_14R.jpg,data\CHASE\target_test\masks\Image_14R_mask.png,target_test,target_test
