image_id,dataset,split,native_w,native_h,brightness,contrast,mean_r,mean_g,mean_b,native_vessel_pct,post_resize_vessel_pct,vessel_pct_diff,has_mask
CHASE_Image_09R,CHASE,target_train,999,960,81.36,60.3,161.73,54.9,6.82,5.09,5.067,-0.024,True
CHASE_Image_10L,CHASE,target_train,999,960,56.79,45.34,95.32,45.7,12.75,6.264,6.255,-0.01,True
CHASE_Image_10R,CHASE,target_train,999,960,48.09,39.85,86.38,36.67,6.47,6.191,6.179,-0.012,True
CHASE_Image_11L,CHASE,target_test,999,960,88.36,62.49,170.94,61.93,7.91,5.33,5.334,0.003,True
CHASE_Image_11R,CHASE,target_test,999,960,85.15,61.15,168.09,58.13,6.8,5.332,5.36,0.028,True
CHASE_Image_12L,CHASE,target_test,999,960,56.13,47.07,114.8,36.19,5.04,7.198,7.2,0.002,True
CHASE_Image_12R,CHASE,target_test,999,960,62.68,47.17,125.87,41.48,6.18,7.35,7.343,-0.007,True
CHASE_Image_13L,CHASE,target_test,999,960,47.44,39.56,72.92,41.29,12.16,6.15,6.163,0.013,True
CHASE_Image_13R,CHASE,target_test,999,960,42.43,36.11,67.23,36.25,9.16,6.321,6.327,0.005,True
CHASE_Image_14L,CHASE,target_test,999,960,74.84,53.94,154.71,47.34,7.02,6.883,6.848,-0.035,True
CHASE_Image_14R,CHASE,target_test,999,960,47.73,41.48,105.35,27.26,2.18,5.851,5.856,0.005,True
STARE_im0001,STARE,external_test,700,605,86.27,43.53,125.73,80.5,12.42,7.981,7.972,-0.009,True
STARE_im0002,STARE,external_test,700,605,81.26,44.76,131.72,68.16,16.34,6.66,6.63,-0.03,True
STARE_im0003,STARE,external_test,700,605,101.46,50.7,162.12,87.02,16.69,5.985,6.001,0.016,True
STARE_im0004,STARE,external_test,700,605,89.15,47.73,135.81,79.49,16.46,7.413,7.411,-0.002,True
STARE_im0005,STARE,external_test,700,605,106.01,57.14,148.95,92.09,65.03,9.034,9.035,0.002,True
STARE_im0044,STARE,external_test,700,605,135.61,66.64,199.12,119.37,52.67,6.965,6.952,-0.013,True
STARE_im0077,STARE,external_test,700,605,101.94,56.94,162.95,83.73,35.63,8.014,7.972,-0.042,True
STARE_im0081,STARE,external_test,700,605,87.89,45.29,147.69,70.0,23.15,7.465,7.438,-0.027,True
STARE_im0082,STARE,external_test,700,605,102.55,56.71,164.11,89.08,10.4,7.865,7.88,0.014,True
STARE_im0139,STARE,external_test,700,605,79.07,36.51,124.75,66.05,26.22,8.042,8.048,0.006,True
STARE_im0162,STARE,external_test,700,605,96.97,52.54,168.33,76.92,12.99,7.126,7.136,0.01,True
STARE_im0163,STARE,external_test,700,605,106.06,59.46,176.11,89.12,9.53,7.733,7.758,0.025,True
STARE_im0235,STARE,external_test,700,605,98.8,59.43,157.45,81.6,33.52,8.902,8.906,0.004,True
STARE_im0236,STARE,external_test,700,605,97.92,57.76,157.9,80.17,32.0,9.058,9.121,0.063,True
STARE_im0239,STARE,external_test,700,605,113.24,60.23,139.83,109.94,60.47,8.635,8.628,-0.007,True
STARE_im0240,STARE,external_test,700,605,76.22,38.42,99.21,70.72,44.22,10.211,10.237,0.026,True
STARE_im0255,STARE,external_test,700,605,78.79,39.52,130.98,59.58,40.75,8.95,8.952,0.002,True
STARE_im0291,STARE,external_test,700,605,93.53,49.51,118.0,87.96,58.0,5.057,5.06,0.003,True
STARE_im0319,STARE,external_test,700,605,113.38,61.11,171.06,104.73,6.55,4.308,4.325,0.017,True
STARE_im0324,STARE,external_test,700,605,117.24,62.7,181.68,106.19,5.12,6.673,6.648,-0.025,True
